desktop-orig,desktop-aos,desktop-mixed,laptop-orig,laptop-aos,laptop-mixed,graphic-orig,graphic-aos,graphic-mixed,ray-orig,ray-aos,ray-mixed,voxel-orig,voxel-aos,voxel-mixed
8.131048999999999,16.46055414,8.28177261,20.926426,43.26205932,23.05383559,35.737458000000004,50.61236700,27.27766323,6.875888,13.08728467,6.97440213,10.488061,19.19378171,10.87212655
8.021464,15.05765892,8.20904285,21.075540999999998,35.89783262,23.53296991,16.228292999999997,55.85212085,29.19937590,6.860574,12.92555128,6.96482672,10.143267999999999,21.39400842,10.69948194
7.993447,15.10774993,8.27125027,20.662499,36.04567399,23.12204134,17.816077,54.77384416,12.04068369,6.933431000000001,13.10191104,7.00463164,10.508450999999999,19.11854987,9.96053770
7.986414999999999,15.19405547,8.15061569,20.596598999999998,35.97640753,23.43502782,25.015725,54.05646254,48.72581305,6.918477,12.99619426,7.01908645,10.919411,19.29280357,10.74089189
8.010364,15.40642249,8.58864641,20.565327,35.97590030,23.20153412,23.986358,50.48983141,16.63202498,6.916211,12.96626551,7.03722322,10.897222,21.47229826,10.87857632
8.030434000000001,15.44121862,8.19102375,20.868011,35.92690590,23.19055271,17.571834,28.47760670,26.78802549,6.829058,12.96793626,7.06501600,10.674167,19.14663516,10.80129705
7.962886,15.34742084,8.18133391,20.610172000000002,36.03924900,23.38114124,25.903306,54.78722112,29.87747450,6.910384,12.98317618,6.97055517,10.356418,19.22242244,9.97716533
7.996055,15.12104445,8.30635319,20.633258,36.30896024,23.44635350,38.562465,44.07285873,11.99752814,6.931153,13.01555676,6.99375597,14.822385,19.16863974,11.13466650
7.9954790000000004,14.76994228,8.23913694,20.575172000000002,36.33541217,23.36828673,29.890314,69.66859570,15.35092715,6.918134,12.93012175,7.00093695,10.475799,21.55690330,10.92346716
7.962684,14.86400657,8.24989946,20.593853,36.30572872,23.32047258,23.094734,32.50469105,25.75492993,6.807588,13.00285686,7.02821606,10.289519,19.17125662,10.84084304
8.001229,15.00131435,8.20841315,20.858172,36.34631762,23.45010680,16.072383000000002,54.99243029,24.17319846,6.911846,12.93224816,7.02838840,10.795058999999998,19.08742820,10.87199685
8.012466,15.45366266,8.03575621,20.564006,38.95656923,23.66030272,30.777967,45.23159806,17.17793433,6.812458,12.96236401,6.95440670,10.830359,19.15175281,10.87485281
7.968563999999999,14.86533872,8.18175154,20.594689,39.75541330,23.84618837,12.649002000000001,35.31614871,26.84122392,6.867422,12.82209217,6.98484613,10.926054,19.67093408,10.00463094
8.059954,14.78455092,8.10152913,20.513751,40.08618474,23.93169195,21.922323000000002,46.44168557,23.22647987,6.8562199999999995,13.00649230,7.00726640,10.731873,21.18887551,9.99068142
8.148938,14.91134317,8.19532243,20.783473,40.07250586,23.79815647,38.900427,37.64988872,17.15909792,6.966755,12.88785671,7.00826589,10.848450000000001,19.15176635,10.99773454
7.981122999999999,15.12166863,8.21163830,20.595844,40.08525561,23.84145667,26.661797,53.50562541,26.85154015,6.834227,13.03812193,6.97249723,9.431583,21.51608489,10.94481687
8.293234,14.95997514,8.17261775,20.795112,40.12088755,23.74968674,16.999629,31.25436569,22.35681799,6.885073,12.95926717,7.06318309,10.774465,21.34185338,10.84124222
8.215313,15.03600461,8.34814203,20.626707,42.04556475,23.83584636,26.650375,63.83692021,17.18796809,6.809308000000001,12.92922689,7.03210665,10.429601,19.04192190,10.08638014
7.981211999999999,15.24084269,8.20034828,20.735774000000003,43.17243422,23.38699703,24.393857999999998,64.66377311,27.55270801,6.973582,12.99383912,6.99935136,10.926871,19.18788412,10.87697049
8.04716,14.92349127,8.14494233,20.646344,44.73874732,23.95373033,17.098989000000003,45.43367433,21.72575282,6.947883,13.07609550,7.05050988,10.342755,21.54580733,10.88048679
